Customer Name,Review Head,Review,Date,Airport Names,Ratings(10)
E Carmere,there is not enough space,the lounge is clean but the seats are worn and there is not enough space to accommodate all the passengers travelling in club and those with silver and having access to the lounge nothing wrong decent sandwiches but no hot food only soup decent choice of alcoholic beverages and acceptable wines service with a smile vonly a shame the restrooms are extremely basic and not very clean,14th March 2024,Barbados Grantley Adams Airport,6
Tony Maddern,staff were welcoming and friendly,the lounge is very spacious with a wide variety of areas to sit and a kids play area food was amazing with hot cooked foods at breakfast alcoholic beverages were limited to wine  sparking wine as it was morning very clean and showers are available which was great after connecting from an overnight flight from new york staff were welcoming and friendly,21st December 2023,London Heathrow Airport,10
S Neale,rotten and totally incompetent airline,tatty and uncared for the ba business lounge in gatwick south terminal seems to be unloved and uncared for the staff try hard but there is little loyalty they do not work for ba information on flights is scarce due to them not working direct and on one occasion they were told by ba to “stop bothering them” when they were trying to ascertain the status of a much delayed flight despite the flight having been delayed for over five hours the customers were kicked out of the lounge two hours before boarding as it was closing i would certainly never fly with this truly rotten and totally incompetent airline again,28th September 2023,London Gatwick Airport,1
Peter Glasier,"ba staff who are rude, abrasive",crowded or rather overcrowded as usual the catering staff in the lounge are nice polite and helpful  in contrast to the reception ba staff who are rude abrasive and have no right to be facing customers the toilets are terrible long queues to access one no urinals so all men have to queue up for the single toilets as with so many other parts of the famous ba costcutting all magazines and newspapers have not been returned after covid and this is now a further drop in standards food is okay but hot food is real canteen style and not a match on many airlines first class standards to call this a first lounge is a disgrace and you are probably better off going to one of the restaurants in the main departure hall and one thing you will note heathrow public toilets are nicer and kept cleaner than the ba lounge facilities,1st September 2023,London Heathrow Airport,2
Richard Hodges,full service has been resumed,flew london to kalamata and as a silversaphire member used the galleries south lounge covid had meant that food offerings had been stripped back to a bare minimum but i am pleased that a full service has been resumed quite busy but found two comfortable seats easily enough had a decent full english breakfast with a glass of champagne and very good cup or two of coffee much better ba,20th June 2023,London Heathrow Airport,9
Ellen Blaine Adams,the lounge is infested with mice,we were at the british airways terminal 5 south business lounge at heathrow airport on the evening of april 24 2023 we were shocked to see not one but three mice running under and around our chairs and table the wait staff told me the lounge is infested with mice and that british airways and heathrow airport have known about this for months i was so disgusted that i left i was then told by a flight attendant that their crew lounge is also infested with mice lastly i was told by an airport meet and greet that the problem is not just limited to the british air lounges in addition to the active mice the lounge was very dark the tables were dirty as was the glassware totally disgusting and unacceptable the health department needs to close the lounge in my opinion,4th May 2023,London Heathrow Airport,1
G Marsen,cold and unwelcoming,a pretty underwhelming experience the staff on the desk to greet us were quite cold and unwelcoming the same was true of the staff on the baggage storage desk and the shower suite desk the shower facilities were in desperate need of refurbishment as is the lounge in general the food on offer was quite nice and the atmosphere was quiet and relaxed which is what we needed after a very long flight bottom line though is ba really need to improve the quality of their staff and give this particular lounge a refresh,28th April 2023,London Heathrow Airport,5
P Horten,not a bad experience,i travelled on a weekend which i never normally do so was taken aback by how busy the lounge was i did find a decent seat luckily and tried from both the breakfast and lunch menu both offered a decent selection of nice food and beverages on the wine side a really ordinary prosecco was available to self serve but you needed to order champagne i did find a really good sauvignon which exceeded my expectations and only wish that happened more the staff were very good at keeping a really busy lounge not looking too distressed with the volume of customers generally not a bad experience but hardly outstanding i guess you need to head to the gulf states for that,12th April 2023,London Heathrow Airport,6
Ian Sinclair,shoddy level of service,arrived from johannesburg and went to the concorde room for breakfast thirty minutes after ordering nothing arrived apparently order lost between the dining area and the kitchen lounge not busy so no excuse for this shoddy level of service it was a chaotic shambles and given that this is bas flagship lounge it was extremely disappointing i eventually went to the first lounge and had breakfast there the staff in the concorde lounge really need a refresher course there is no excuse for getting something so straightforward wrong,11th March 2023,London Heathrow Airport,2
M Kidd,as basic as it gets,ba business class ticket holders access escape lounge which is also a pay per use lounge compared with ba’s lounges around the world this is as basic as it gets self service hot and cold snacks soft drinks and teacoffee alcohol on request from the bar the wines are cheap and don’t compare to business class offerings at ba lounge is tidy there’s a waste trolley on view where staff scrape dirty plates into the bin and stack dirty plates very off putting staff like to chat amongst themselves the ‘meet and greet’ person on the lounge was glued to her chair and social media shouting ‘hiya’ and ‘see ya’ every now and again the lounge is a nice escape from the crowds downstairs with lots of charging points for devices,25th January 2023,Manchester Airport,1
